지역,구군,지역코드,주소,중심점X,중심점Y,경도,위도,건축년도,건물연령,연령대,노후등급,노후점수,겹침비율,홍수등급,홍수점수,산사태거리,산사태등급,산사태점수,노후홍수점수,노후홍수등급,노후홍수코드,홍수산사태점수,홍수산사태등급,홍수산사태코드,노후산사태점수,노후산사태등급,노후산사태코드,종합점수,종합등급,위험코드
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 효자동1가 1 일반 555-12 32086 1 일반건축물,210928.30055541798,356429.63605990494,210928.30055541798,356429.63605990494,1987.0,39.0,30-50년,노후,5,0.0,없음,0,605.3098380168623,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중앙동4가 1 일반 82-4 32087 1 일반건축물,213093.09465123553,357468.79674021056,213093.09465123553,357468.79674021056,1994.0,32.0,30-50년,노후,5,0.0,없음,0,504.47993022517755,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 평화동1가 1 일반 434-103 32089 1 일반건축물,212909.52617885792,355753.21534923796,212909.52617885792,355753.21534923796,1980.0,46.0,30-50년,노후,5,0.0,없음,0,297.3213749463701,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 564-3 32094 1 일반건축물,210755.81923624894,356054.79379656917,210755.81923624894,356054.79379656917,1990.0,36.0,30-50년,노후,5,0.0,없음,0,930.8598175880189,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 598-8 32096 1 일반건축물,210731.7709843722,355765.552495113,210731.7709843722,355765.552495113,1992.0,34.0,30-50년,노후,5,100.0,매우높음,4,943.7160589923221,안전,0,9,위험,E,4,관심,B,5,주의,C,9,경고,D
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 남노송동 1 일반 105-26 32098 1 일반건축물,214118.7669146008,357954.0961134255,214118.7669146008,357954.0961134255,1980.0,46.0,30-50년,노후,5,0.0,없음,0,306.10455730027934,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 색장동 1 일반 403 32104 1 일반건축물,216628.02944755537,356043.7055506885,216628.02944755537,356043.7055506885,1978.0,48.0,30-50년,노후,5,0.0,없음,0,30.0,매우위험,4,5,주의,C,4,관심,B,9,위험,E,9,경고,D
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 효자동1가 1 일반 103-25 32106 1 일반건축물,211663.8497790953,356379.2680966496,211663.8497790953,356379.2680966496,1988.0,38.0,30-50년,노후,5,0.0,없음,0,517.8802950489621,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 효자동1가 1 일반 296-94 32107 1 일반건축물,210762.80486604272,356721.08458716935,210762.80486604272,356721.08458716935,1979.0,47.0,30-50년,노후,5,0.0,없음,0,310.4834939252005,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 692-8 32108 1 일반건축물,211316.86328501682,355272.2585929435,211316.86328501682,355272.2585929435,1993.0,33.0,30-50년,노후,5,0.0,없음,0,430.4648650006177,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 646-9 32109 1 일반건축물,210639.64025689257,355389.03488227754,210639.64025689257,355389.03488227754,1993.0,33.0,30-50년,노후,5,0.0,없음,0,874.5856161634491,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중노송동 1 일반 428-46 32110 1 일반건축물,213585.39212568858,359040.182438418,213585.39212568858,359040.182438418,1973.0,53.0,50-100년,고령,6,0.0,없음,0,1200.1666550941998,안전,0,6,주의,C,0,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 대성동 1 일반 206-4 32114 1 일반건축물,215615.71676443217,355528.93045500165,215615.71676443217,355528.93045500165,1988.0,38.0,30-50년,노후,5,0.0,없음,0,80.62257748298549,위험,3,5,주의,C,3,관심,B,8,경고,D,8,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 565-17 32117 1 일반건축물,210806.96563926028,356100.00520335016,210806.96563926028,356100.00520335016,1989.0,37.0,30-50년,노후,5,0.0,없음,0,930.8598175880189,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 동서학동 1 일반 875-1 3212 1 일반건축물,214182.68993862846,356933.01272085786,214182.68993862846,356933.01272085786,1971.0,55.0,50-100년,고령,6,0.0,없음,0,219.3171219946131,관심,1,6,주의,C,1,안전,A,7,경고,D,7,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 동서학동 1 일반 949-46 32124 1 일반건축물,214285.23422276904,356658.3866236555,214285.23422276904,356658.3866236555,1980.0,46.0,30-50년,노후,5,0.0,없음,0,70.0,위험,3,5,주의,C,3,관심,B,8,경고,D,8,주의,C
